#-Hlavicka-#
# z0 = 100.00m, v0 = -20.00m/s, alfa = 330 degrees, azimut = 20 degrees, r = 3.00m,
# tD = 3.61s, ymax = 21.39m, tm = 0.00s, ymax = 100.00
#----------#
2.37	14.04	48.76	5.92	-33.24	37.01
2.38	14.10	48.43	5.92	-33.34	37.10
2.39	14.16	48.09	5.92	-33.44	37.19
2.40	14.22	47.76	5.92	-33.54	37.28
2.41	14.28	47.42	5.92	-33.63	37.37
2.42	14.34	47.08	5.92	-33.73	37.45
2.43	14.40	46.75	5.92	-33.83	37.54
2.44	14.45	46.41	5.92	-33.93	37.63
2.45	14.51	46.07	5.92	-34.03	37.72
2.46	14.57	45.73	5.92	-34.12	37.81
2.47	14.63	45.39	5.92	-34.22	37.90
2.48	14.69	45.04	5.92	-34.32	37.98
2.49	14.75	44.70	5.92	-34.42	38.07
2.50	14.81	44.35	5.92	-34.52	38.16
2.51	14.87	44.01	5.92	-34.61	38.25
2.52	14.93	43.66	5.92	-34.71	38.34
2.53	14.99	43.31	5.92	-34.81	38.43
2.54	15.05	42.97	5.92	-34.91	38.52
2.55	15.11	42.62	5.92	-35.01	38.61
2.56	15.17	42.27	5.92	-35.11	38.69
2.57	15.22	41.91	5.92	-35.20	38.78
2.58	15.28	41.56	5.92	-35.30	38.87
2.59	15.34	41.21	5.92	-35.40	38.96
2.60	15.40	40.85	5.92	-35.50	39.05
2.61	15.46	40.50	5.92	-35.60	39.14
2.62	15.52	40.14	5.92	-35.69	39.23
2.63	15.58	39.78	5.92	-35.79	39.32
2.64	15.64	39.43	5.92	-35.89	39.41
2.65	15.70	39.07	5.92	-35.99	39.50
2.66	15.76	38.71	5.92	-36.09	39.59
2.67	15.82	38.34	5.92	-36.18	39.68
2.68	15.88	37.98	5.92	-36.28	39.77
2.69	15.94	37.62	5.92	-36.38	39.85
2.70	15.99	37.25	5.92	-36.48	39.94
2.71	16.05	36.89	5.92	-36.58	40.03
2.72	16.11	36.52	5.92	-36.67	40.12
2.73	16.17	36.16	5.92	-36.77	40.21
2.74	16.23	35.79	5.92	-36.87	40.30
2.75	16.29	35.42	5.92	-36.97	40.39
2.76	16.35	35.05	5.92	-37.07	40.48
2.77	16.41	34.68	5.92	-37.16	40.57
2.78	16.47	34.31	5.92	-37.26	40.66
2.79	16.53	33.93	5.92	-37.36	40.75
2.80	16.59	33.56	5.92	-37.46	40.84
2.81	16.65	33.18	5.92	-37.56	40.93
2.82	16.71	32.81	5.92	-37.65	41.02
2.83	16.76	32.43	5.92	-37.75	41.11
2.84	16.82	32.05	5.92	-37.85	41.20
2.85	16.88	31.67	5.92	-37.95	41.29
2.86	16.94	31.29	5.92	-38.05	41.38
2.87	17.00	30.91	5.92	-38.15	41.47
2.88	17.06	30.53	5.92	-38.24	41.56
2.89	17.12	30.15	5.92	-38.34	41.65
2.90	17.18	29.76	5.92	-38.44	41.74
2.91	17.24	29.38	5.92	-38.54	41.83
2.92	17.30	28.99	5.92	-38.64	41.92
2.93	17.36	28.61	5.92	-38.73	42.01
2.94	17.42	28.22	5.92	-38.83	42.10
2.95	17.48	27.83	5.92	-38.93	42.20
2.96	17.53	27.44	5.92	-39.03	42.29
2.97	17.59	27.05	5.92	-39.13	42.38
2.98	17.65	26.66	5.92	-39.22	42.47
2.99	17.71	26.26	5.92	-39.32	42.56
3.00	17.77	25.87	5.92	-39.42	42.65
3.01	17.83	25.48	5.92	-39.52	42.74
3.02	17.89	25.08	5.92	-39.62	42.83
3.03	17.95	24.68	5.92	-39.71	42.92
3.04	18.01	24.29	5.92	-39.81	43.01
3.05	18.07	23.89	5.92	-39.91	43.10
3.06	18.13	23.49	5.92	-40.01	43.19
3.07	18.19	23.09	5.92	-40.11	43.28
3.08	18.25	22.69	5.92	-40.20	43.37
3.09	18.31	22.28	5.92	-40.30	43.46
3.10	18.36	21.88	5.92	-40.40	43.56
3.11	18.42	21.47	5.92	-40.50	43.65
3.12	18.48	21.07	5.92	-40.60	43.74
3.13	18.54	20.66	5.92	-40.69	43.83
3.14	18.60	20.26	5.92	-40.79	43.92
3.15	18.66	19.85	5.92	-40.89	44.01
3.16	18.72	19.44	5.92	-40.99	44.10
3.17	18.78	19.03	5.92	-41.09	44.19
3.18	18.84	18.62	5.92	-41.19	44.28
3.19	18.90	18.20	5.92	-41.28	44.38
3.20	18.96	17.79	5.92	-41.38	44.47
3.21	19.02	17.38	5.92	-41.48	44.56
3.22	19.08	16.96	5.92	-41.58	44.65
3.23	19.13	16.54	5.92	-41.68	44.74
3.24	19.19	16.13	5.92	-41.77	44.83
3.25	19.25	15.71	5.92	-41.87	44.92
3.26	19.31	15.29	5.92	-41.97	45.02
3.27	19.37	14.87	5.92	-42.07	45.11
3.28	19.43	14.45	5.92	-42.17	45.20
3.29	19.49	14.03	5.92	-42.26	45.29
3.30	19.55	13.60	5.92	-42.36	45.38
3.31	19.61	13.18	5.92	-42.46	45.47
3.32	19.67	12.75	5.92	-42.56	45.56
3.33	19.73	12.33	5.92	-42.66	45.66
3.34	19.79	11.90	5.92	-42.75	45.75
3.35	19.85	11.47	5.92	-42.85	45.84
3.36	19.90	11.04	5.92	-42.95	45.93
3.37	19.96	10.61	5.92	-43.05	46.02
3.38	20.02	10.18	5.92	-43.15	46.11
3.39	20.08	9.75	5.92	-43.24	46.21
3.40	20.14	9.32	5.92	-43.34	46.30
3.41	20.20	8.88	5.92	-43.44	46.39
3.42	20.26	8.45	5.92	-43.54	46.48
3.43	20.32	8.01	5.92	-43.64	46.57
3.44	20.38	7.58	5.92	-43.73	46.67
3.45	20.44	7.14	5.92	-43.83	46.76
3.46	20.50	6.70	5.92	-43.93	46.85
3.47	20.56	6.26	5.92	-44.03	46.94
3.48	20.62	5.82	5.92	-44.13	47.03
3.49	20.67	5.38	5.92	-44.23	47.13
3.50	20.73	4.93	5.92	-44.32	47.22
3.51	20.79	4.49	5.92	-44.42	47.31
3.52	20.85	4.05	5.92	-44.52	47.40
3.53	20.91	3.60	5.92	-44.62	47.49
3.54	20.97	3.15	5.92	-44.72	47.59
3.55	21.03	2.71	5.92	-44.81	47.68
3.56	21.09	2.26	5.92	-44.91	47.77
3.57	21.15	1.81	5.92	-45.01	47.86
3.58	21.21	1.36	5.92	-45.11	47.95
3.59	21.27	0.91	5.92	-45.21	48.05
3.60	21.33	0.45	5.92	-45.30	48.14
3.61	21.39	-0.00	5.92	-45.40	48.23
